0,      122072, 1.4441,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,     3906250, 1.3732,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,     7568356, 1.3699,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    11230475, 1.3715,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    14892581, 1.3667,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    18554687, 1.3683,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    22216793, 1.3651,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    25878913, 1.3651,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    29541019, 1.3619,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    33203125, 1.3570,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    36865231, 1.3538,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    40527350, 1.3506,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    44189456, 1.3441,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    47851562, 1.3393,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
0,    51513668, 1.3313,           0, 0.0000, 0.000, 0.000, 0.0000, 0.0000
1,    55297846, 1.2926,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
1,    58959966, 1.2894,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
1,    62622072, 1.2797,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
1,    66284178, 1.2749,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
1,    68969721, 1.2668,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
1,    72631841, 1.2587,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
1,    76293947, 1.2459,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
1,    79956053, 1.2378,    51513668, 1.3313, 0.000, 0.000, 0.0000, 0.0000
